SYMPTOM_ID,SYMPTOM_NAME
308,Hepatic vascular disorder
309,Polyp
310,Von Willebrand's factor antigen increased
311,Lacunar infarction
312,Alcoholic seizure
313,Vascular access site thrombosis
314,Diverticulitis Meckel's
315,Stress cardiomyopathy
316,Haematocrit normal
317,Nuclear magnetic resonance imaging
318,Septic arthritis staphylococcal
319,Pulmonary hypertensive crisis
320,Vascular neoplasm
321,Jaundice acholuric
322,Anti-actin antibody positive
323,Serous retinopathy
324,Hereditary haemochromatosis
325,Palmar erythema
326,Brain scan normal
327,Abnormal uterine bleeding
328,Brain stent insertion
329,Blepharitis
330,Thermohypoaesthesia
331,Conjunctival bleb
332,Exposure to body fluid
333,Puncture site inflammation
334,Tumour necrosis
335,Urinary nitrogen increased
336,Anti factor Xa assay normal
337,Hirsutism
338,Paget-Schroetter syndrome
339,Appetite disorder
340,Open wound
341,Vaccination site oedema
342,Stress polycythaemia
343,Magnetic resonance imaging heart abnormal
344,Shoulder pain
345,Obstructed labour
346,Administration site infection
347,Aortic valve calcification
348,Immune-mediated renal disorder
349,Migraine
350,Palisaded neutrophilic granulomatous dermatitis
351,Oral appliance application
352,Salivary gland enlargement
353,Reactogenicity event
354,Arterial tortuosity syndrome
355,Hypocitraturia
356,Breath sounds absent
357,Blood triglycerides abnormal
358,Anti-complement antibody
359,Meningioma benign
360,Swallow study
361,Vascular anomaly
362,Insulin resistant diabetes
363,Genital rash
364,Herpes simplex serology
365,IVth nerve injury
366,Allergy test
367,Uterine disorder
368,Bence Jones protein urine
369,Synovial fluid cell count
370,Hyaluronic acid decreased
371,Phobia
372,Cardiolipin antibody
373,Urogram normal
374,Vestibular nystagmus
375,Bilirubin conjugated abnormal
376,Ovarian dysgerminoma stage unspecified
377,Internal injury
378,Pregnancy test urine negative
379,Ulna fracture
380,Total lung capacity
381,Haemodialysis complication
382,Somatic symptom disorder
383,Dissociative amnesia
384,Acinetobacter test
385,Ligamentum flavum hypertrophy
386,Endometrial neoplasm
387,Diphtheria toxin antibody absent
388,Sleep study abnormal
389,Biopsy stomach abnormal
390,Intention tremor
391,Visceral venous thrombosis
392,Prosthetic cardiac valve malfunction
393,Terminal agitation
394,Periorbital dermatitis
395,Toxic nodular goitre
396,Cough challenge test
397,Atrial enlargement
398,Immune-mediated encephalitis
399,Central venous pressure
400,Jaw disorder
401,Upper limb fracture
402,Muscle mass percentage
403,Exercise electrocardiogram abnormal
404,Granulomatous lymphadenitis
405,Pyelonephritis chronic
406,AST to platelet ratio index increased
407,CSF granulocyte count normal
408,Tracheal fistula repair
409,Pyloric sphincter insufficiency
410,Fractional excretion of sodium
411,Puncture site reaction
412,Back pain
413,Blood blister
414,Magnetic resonance imaging thoracic normal
415,Rubulavirus test
416,Crystal urine present
417,Hepato-lenticular degeneration
418,Small intestinal resection
419,Manifest refraction normal
420,Cogwheel rigidity
421,Contraceptive cap
422,UV light therapy
423,Systemic infection
424,Endoscopic swallowing evaluation abnormal
425,Supravalvular aortic stenosis
426,CSF electrophoresis
427,Traction
428,Vaginal inflammation
429,Hyperandrogenism
430,PCDH19 gene mutation
431,Carboxyhaemoglobin increased
432,Allergy to venom
433,Carcinoid syndrome
434,Delivery
435,Free fatty acids increased
436,Vertigo labyrinthine
437,Vaccination site thrombosis
438,Monocyte count normal
439,Adult T-cell lymphoma/leukaemia
440,Megaloblasts increased
441,Blood creatine phosphokinase MB increased
442,Cardiac murmur functional
443,Flooding
444,Radial pulse abnormal
445,Neutropenia neonatal
446,Oropharyngeal scar
447,Atherosclerotic plaque rupture
448,Symptom masked
449,Cerebral haemosiderin deposition
450,Malignant neoplasm of pleura
451,CCR5 receptor positive
452,School refusal
453,Acanthosis nigricans
454,Dry lung syndrome
455,Cholelithotripsy
456,Pressure of speech
457,Alpha globulin increased
458,Femoral hernia
459,Blood urea decreased
460,Anaesthesia oral
461,Infusion site warmth
462,Staphylococcal scalded skin syndrome
463,Mononeuropathy multiplex
464,Proctocolitis
465,Urinary tract infection
466,Schizoaffective disorder
467,Keratorhexis
468,Myasthenic syndrome
469,Anaemia folate deficiency
470,Aspiration biopsy
471,Tetanus immunisation
472,Aneurysm arteriovenous
473,Vascular fragility
474,"Blood 1,25-dihydroxycholecalciferol increased"
475,Blood oestrogen
476,Renal artery thrombosis
477,Disseminated intravascular coagulation
478,Severe myoclonic epilepsy of infancy
479,Exposure to communicable disease
480,Urinary tract pain
481,Pseudogynaecomastia
482,Mantle cell lymphoma recurrent
483,Basophilia
484,Butterfly rash
485,Memory impairment
486,Respiratory tract inflammation
487,Scan
488,Melanodermia
489,Blood parathyroid hormone normal
490,Orthostatic tremor
491,Pleural effusion
492,Cerebral arteriosclerosis
493,Anti factor X activity
494,Frontal sinus operation
495,Good syndrome
496,Joint swelling
497,Protein urine absent
498,Granulomatosis with polyangiitis
499,Ear infection
500,Erythema induratum
501,Indirect infection transmission
502,Disruptive mood dysregulation disorder
503,Hypoaesthesia facial
504,Biopsy trachea
505,Radioallergosorbent test negative
506,Exertional rhabdomyolysis
507,Cerebrovascular insufficiency
508,Spinal cord haemorrhage
509,Uterine irritability
510,Retirement
511,Metachromatic leukodystrophy
512,Metastases to pituitary gland
513,Injury
514,Primary biliary cholangitis
515,Disaccharide metabolism disorder
516,Prohormone brain natriuretic peptide
517,Hypogonadism female
518,Hyperphosphataemia
519,Natural killer cell activity normal
520,Dental examination normal
521,B-lymphocyte count increased
522,Argon plasma coagulation
523,Uterine cervical squamous metaplasia
524,Oral discharge
525,Transillumination
526,Specific gravity body fluid normal
527,Hypoaesthesia
528,Hand-eye coordination impaired
529,Alveolar osteitis
530,Neurodegenerative disorder
531,Fazekas scale
532,Sigmoid mesocolon hernia
533,Visual evoked potentials abnormal
534,Scleroderma renal crisis
535,Incorrect product storage
536,Fracture treatment
537,Cortisol decreased
538,Anti-SRP antibody positive
539,Syndactyly
540,Brachiocephalic artery occlusion
541,Aortogram abnormal
542,Ileostomy
543,Left ventricular false tendon
544,Corneal disorder
545,Haemoglobin A2
546,Free androgen index
547,Congenital absence of cranial vault
548,Pneumonia acinetobacter
549,Rectal tube insertion
550,Palmoplantar keratoderma
551,Interstitial lung abnormality
552,Osteonecrosis of jaw
553,Superior vena cava stenosis
554,Intussusception
555,Tonsillitis
556,Pneumocystis jiroveci pneumonia
557,No reaction on previous exposure to drug
558,Free prostate-specific antigen
559,LE cells present
560,Blood pressure normal
561,Urinary tract infection pseudomonal
562,Superficial inflammatory dermatosis
563,Enterocolitis infectious
564,Transurethral incision of prostate
565,Injury to brachial plexus due to birth trauma
566,Glycosuria
567,Cardiomyopathy alcoholic
568,Biopsy intestine abnormal
569,Amino acid level normal
570,Prosthetic cardiac valve regurgitation
571,Blood uric acid
572,Vascular encephalopathy
573,Brachioradial pruritus
574,Nephritic syndrome
575,Rash
576,CSF polymorphonuclear cell count decreased
577,Breech delivery
578,Squamous cell carcinoma of head and neck
579,Growth disorder
580,Borderline ovarian tumour
581,Nephrogenic diabetes insipidus
582,Central nervous system lupus
583,Immune-mediated neuropathy
584,Radiculopathy
585,Hepatitis B antibody positive
586,Orthognathic surgery
587,Scrotal discomfort
588,Face and mouth X-ray
589,Urge incontinence
590,Iliac artery disease
591,Syncope vasovagal
592,Diabetic foetopathy
593,Non-Hodgkin's lymphoma
594,Ovarian cystectomy
595,Tenderness
596,Bladder neoplasm
597,Palpable purpura
598,Pulseless electrical activity
599,Supportive care
600,Hysteroscopy abnormal
601,Tumour flare
602,Intraneural cyst
603,Dental alveolar anomaly
604,Geriatric assessment
605,Brain stem infarction
606,Blood pressure systolic abnormal
607,Eyelid sensory disorder
608,Lymphocyte transformation test positive
609,Dermatologic examination abnormal
610,Digestive enzyme test
611,Prealbumin decreased
612,PD-1 test
613,Deficiency anaemia
614,Central venous pressure normal
615,Yellow skin
616,Anti-GAD antibody negative
617,Pneumocystis test
618,Microvascular coronary artery disease
619,Tricuspid valve prolapse
620,Factor IX deficiency
621,Synovial fluid protein
622,Red blood cells urine negative
623,Blood corticotrophin increased
624,Incarcerated hiatus hernia
625,Limb discomfort
626,Red breast syndrome
627,Placental disorder
628,Acquired porokeratosis
629,Chronic hyperplastic eosinophilic sinusitis
630,Vulvovaginal pain
631,Atrophoderma of Pasini and Pierini
632,Micrographic skin surgery
633,Haemangiopericytoma
634,Toxocariasis
635,Perforated ulcer
636,Retinogram
637,Haemoglobin A present
638,Perineal disorder
639,Internal device exposed
640,Endocarditis haemophilus
641,Infection transmission via personal contact
642,Cryoglobulins present
643,Human papilloma virus test
644,Brachial pulse decreased
645,Paradoxical embolism
646,Uveitis-glaucoma-hyphaema syndrome
647,Renal vein occlusion
648,Arterial stenosis
649,Deformity of orbit
650,Product contamination physical
651,Transient acantholytic dermatosis
652,Application site joint swelling
653,Patient restraint
654,Diabetic ketoacidotic hyperglycaemic coma
655,Lissencephaly
656,Lacrimal gland enlargement
657,Cataract
658,Beta-2 glycoprotein antibody negative
659,Femoral nerve palsy
660,Sweat gland infection
661,Endoscopy biliary tract
662,Hodgkin's disease stage II
663,Viral vasculitis
664,White blood cell analysis
665,Acquired macroglossia
666,Protein C increased
667,Vaginitis bacterial
668,Spinal cord operation
669,Seasonal affective disorder
670,Vanillyl mandelic acid urine increased
671,Thyroid gland scan abnormal
672,Biopsy salivary gland normal
673,Bone resorption test
674,Acquired factor VIII deficiency
675,Administration site joint erythema
676,Adhesive tape use
677,Multiple sclerosis relapse prophylaxis
678,Scleral discolouration
679,Hypersomnia-bulimia syndrome
680,Lipoatrophy
681,Anti-GAD antibody positive
682,Erythroblast count
683,Molluscum contagiosum
684,Bronchogram abnormal
685,Tuberculosis bladder
686,Jugular vein thrombosis
687,Blood creatine phosphokinase MB normal
688,Arterial perforation
689,Hepatic vein occlusion
690,Social anxiety disorder
691,Mucosal dryness
692,Ovulation induction
693,Gastrointestinal motility disorder
694,Aphthovirus test positive
695,Lymphorrhoea
696,Smear vaginal normal
697,Coronary artery stenosis
698,Unintentional use for unapproved indication
699,Non-high-density lipoprotein cholesterol increased
700,Vascular access site discolouration
701,Vestibular ischaemia
702,Female genital organs X-ray
703,Waterhouse-Friderichsen syndrome
704,Pancreatic cyst drainage
705,Incision site infection
706,Throat irritation
707,Foreign body in ear
708,Sleep deficit
709,Spermatic cord cyst
710,Micturition disorder
711,Pyruvate kinase increased
712,Carotid endarterectomy
713,Central nervous system lesion
714,Blood immunoglobulin D
715,Thrombin-antithrombin III complex normal
716,Pupillary disorder
717,Cystogram normal
718,Culture stool negative
719,Hyperinsulinaemia
720,Transplant failure
721,Subdural haematoma evacuation
722,Neck mass
723,Respiratory tract chlamydial infection
724,Corrosive gastritis
725,Gardnerella test
726,Mood altered
727,Rhinovirus infection
728,Ocular neoplasm
729,Human seminal plasma hypersensitivity
730,Overflow diarrhoea
731,Metastases to bone
732,Vaccination site warmth
733,Bowen's disease
734,Drug use disorder
735,Rotavirus infection
736,Renal graft infection
737,Erdheim-Chester disease
738,Aortic embolus
739,Face and mouth X-ray abnormal
740,Hereditary angioedema with normal C1 esterase inhibitor
741,Nipple infection
742,Intelligence test
743,Band neutrophil count
744,Pyonephrosis
745,Urine human chorionic gonadotropin positive
746,Schnitzler's syndrome
747,Bone formation increased
748,Mediastinal haemorrhage
749,Ophthalmic fluid drainage
750,Basophil percentage decreased
751,Idiopathic inflammatory myopathy
752,Lymphoid hyperplasia of appendix
753,Waist circumference decreased
754,Blepharorrhaphy
755,Pathology test
756,Bordetella infection
757,Blood oestrogen abnormal
758,"Sleep disorder due to general medical condition, insomnia type"
759,Kawasaki's disease
760,Coagulation factor IX level
761,Traumatic lung injury
762,Hepatic artery stenosis
763,Retinal vein occlusion
764,Bone marrow disorder
765,Antiacetylcholine receptor antibody
766,Allergy to arthropod bite
767,Spleen scan normal
768,Post transplant lymphoproliferative disorder
769,Peripheral nerve ultrasound
770,Puncture site pruritus
771,Laryngeal haemorrhage
772,Meralgia paraesthetica
773,Embolia cutis medicamentosa
774,Drug exposure via breast milk
775,Sebaceous gland infection
776,Polymyalgia rheumatica
777,Neutrophil count abnormal
778,Factitious disorder
779,Tension
780,Influenza
781,Haemophilus test
782,Prothrombin level increased
783,Glucose tolerance decreased
784,Brain natriuretic peptide decreased
785,Lower respiratory tract infection fungal
786,Physical product label issue
787,Pulmonary artery atresia
788,Body temperature increased
789,Leukaemic lymphoma
790,Stenosis
791,Gastrointestinal hypermotility
792,Trigeminal neuralgia
793,Deafness congenital
794,Keratosis pilaris
795,Limb crushing injury
796,Haemorrhagic vasculitis
797,Ultrasound penis abnormal
798,Diverticulitis intestinal perforated
799,Capnocytophaga sepsis
800,Head injury
801,Spinal synovial cyst
802,Corneal light reflex test abnormal
803,Cytomegalovirus pericarditis
804,Acromegaly
805,pH body fluid normal
806,Electrocardiogram U wave present
807,Vaccination site vesicles
808,Varicophlebitis
809,Retinal occlusive vasculitis
810,Arterial catheterisation abnormal
811,Intercepted drug prescribing error
812,Caffeine consumption
813,Immune enhancement therapy
814,Extrapyramidal disorder
815,West Nile virus test positive
816,Computerised tomogram kidney abnormal
817,Fibromuscular dysplasia
818,Pharyngitis bacterial
819,Vesicoureteric reflux
820,HLA-B*5701 assay
821,Cutis verticis gyrata
822,Vascular endothelial growth factor assay
823,Compulsive cheek biting
824,Neonatal alloimmune thrombocytopenia
825,Branchial cyst
826,Exophthalmos
827,Anti-SS-B antibody negative
828,Product dose omission issue
829,Metastases to kidney
830,Haematoma infection
831,Brain damage
832,Simplex virus test positive
833,Cerebral vasoconstriction
834,Foetal-maternal haemorrhage
835,Myelopathy
836,Generalised oedema
837,5q minus syndrome
838,Testicular retraction
839,Radial head dislocation
840,Opportunistic infection
841,Hypertensive emergency
842,Application site cellulitis
843,Atrial septal defect
844,Noninfective retinitis
845,SLE arthritis
846,Aneurysm thrombosis
847,Faecal lactoferrin
848,Dactylitis
849,Hip deformity
850,Chlamydia serology
851,PUVA
852,Adjustment disorder with mixed anxiety and depressed mood
853,Systemic bartonellosis
854,Penile dermatitis
855,Dermographism
856,Ammonia normal
857,CSF white blood cell count positive
858,Bone giant cell tumour
859,Cardiomyopathy acute
860,Heart valve calcification
861,Prenatal care
862,Laparoscopy normal
863,Urinary tract toxicity
864,Oesophageal infection
865,Lower respiratory tract infection viral
866,Hepatitis D antigen negative
867,Angiofibroma
868,Sputum decreased
869,Electrocardiogram R on T phenomenon
870,Septic embolus
871,Musculoskeletal pain
872,Hypertensive nephropathy
873,Muscle contractions involuntary
874,Myofascial spasm
875,Surfactant protein increased
876,Cardiovascular examination
877,Pregnancy with young maternal age
878,Perineurial cyst
879,CD19 lymphocyte count abnormal
880,Biopsy nasopharynx abnormal
881,Subclavian artery stenosis
882,Alpha 1 foetoprotein amniotic fluid increased
883,HIV viraemia
884,Acquired blaschkoid dermatitis
885,Mucocutaneous disorder
886,Dyskinesia
887,Alpha-1 anti-trypsin decreased
888,Sensory disturbance
889,Parasite blood test
890,Defect conduction intraventricular
891,Abstains from recreational drugs
892,Illness
893,Refractory cancer
894,Breast cyst rupture
895,Jealous delusion
896,Spinal artery thrombosis
897,Anti-erythrocyte antibody positive
898,Postpartum thrombosis
899,Erythrocyte electrophoretic index increased
900,Liver sarcoidosis
901,Sclerotherapy
902,Rash follicular
903,Intranasal hypoaesthesia
904,Cortisol free urine normal
905,Spinal meningioma benign
906,External fixation of fracture
907,Pharyngeal enanthema
908,Computerised tomogram of gallbladder
909,Defiant behaviour
910,Urine human chorionic gonadotropin normal
911,Dialysis disequilibrium syndrome
912,Functional endoscopic sinus surgery
913,Inguinal hernia
914,Light chain analysis
915,Myokymia
916,Job change
917,Gingival operation
918,Pneumonia pseudomonal
919,Periorbital abscess
920,Starvation ketoacidosis
921,Apathy
922,Anti-platelet antibody positive
923,Panencephalitis
924,Morbid thoughts
925,Rest regimen
926,Stoma site irritation
927,Triple negative breast cancer
928,Anterior chamber inflammation
929,Periorbital cellulitis
930,Scleritis allergic
931,Anti-HBe antibody negative
932,Aerophobia
933,Breast sarcoma
934,Contraceptive implant
935,Retroperitonitis
936,Red blood cell macrocytes present
937,Mammogram
938,Disturbance in social behaviour
939,Iron deficiency anaemia
940,Surfactant protein
941,Hereditary disorder
942,Hair dye user
943,K-ras gene mutation
944,Eosinophilic pustulosis
945,Subcutaneous biopsy abnormal
946,Urinary squamous epithelial cells increased
947,Anaesthetic complication
948,Alpha 2 globulin abnormal
949,Delayed recovery from anaesthesia
950,CSF immunoglobulin decreased
951,Gastric fibrosis
952,Barbiturates
953,Hair injury
954,Nasal necrosis
955,Glomerular filtration rate normal
956,Anti-RNA polymerase III antibody positive
957,Anti-glycyl-tRNA synthetase antibody positive
958,Varicose vein ruptured
959,Amino acid metabolism disorder
960,Purpura
961,Cutaneous symptom
962,Corona virus infection
963,Portal vein dilatation
964,Ankle fracture
965,Tracheoscopy
966,Non-cardiac chest pain
967,Decapitation
968,Corneal operation
969,Amniocentesis abnormal
970,Laryngeal obstruction
971,Jarisch-Herxheimer reaction
972,Hepatitis B core antigen positive
973,Ketosis
974,Eosinophils urine absent
975,Nodal osteoarthritis
976,Dissociation
977,Testicular pain
978,Hepatoblastoma
979,Septic cerebral embolism
980,Pneumonia respiratory syncytial viral
981,Pulse pressure increased
982,Electrocardiogram
983,Plasma cells decreased
984,Personality change due to a general medical condition
985,Recurrent subareolar breast abscess
986,Blood copper
987,Venous pressure
988,Acceleromyography
989,Ankylosing spondylitis
990,Drug rash with eosinophilia and systemic symptoms
991,Menopausal disorder
992,Bacterial pericarditis
993,X-ray therapy to soft tissue
994,Tinea cruris
995,Metastases to stomach
996,Haemoglobin A absent
997,pH urine
998,Maximal voluntary ventilation abnormal
999,Autoimmune retinopathy
1000,Parvovirus B19 serology
1001,Aspiration bursa abnormal
1002,Magnetic resonance imaging breast normal
1003,Appendicitis noninfective
1004,Dressler's syndrome
1005,Skin bacterial infection
1006,Mitral valve stenosis
1007,Connective tissue disorder
1008,Otic examination abnormal
1009,Suffocation feeling
1010,Microagglutination test
1011,Human papilloma virus test negative
1012,Computerised tomogram heart
1013,Biopsy stomach normal
1014,Device related bacteraemia
1015,Dental operation
1016,Primary hypogonadism
1017,Cerebral microhaemorrhage
1018,Malignant nipple neoplasm female
1019,Investigation
1020,Flashback
1021,Mesenteric haemorrhage
1022,Ammonia abnormal
1023,Blood luteinising hormone abnormal
1024,Follicular lymphoma stage IV
1025,Drug administered to patient of inappropriate age
1026,Rebound effect
1027,Abscess of eyelid
1028,Pyloroplasty
1029,CSF lactate dehydrogenase normal
1030,Autoimmune eye disorder
1031,Venogram
1032,Oesophageal manometry
1033,Congenital tongue anomaly
1034,Haemorrhagic necrotic pancreatitis
1035,Senile osteoporosis
1036,Cephalin flocculation abnormal
1037,Heavy metal normal
1038,Acquired claw toe
1039,Hepatitis C positive
1040,Haemosiderinuria
1041,Lymphatic fistula
1042,Contusion
1043,Confusional arousal
1044,Somniphobia
1045,Lumbar spine flattening
1046,Burnout syndrome
1047,Body mass index increased
1048,Device related infection
1049,Neonatal multi-organ failure
1050,Liver tenderness
1051,Otosalpingitis
1052,Pilonidal cyst
1053,Administration site warmth
1054,Post procedural complication
1055,Bone sarcoma
1056,Meconium peritonitis
1057,Benign fasciculation syndrome
1058,Retroperitoneal fibrosis
1059,Chimerism
1060,Free thyroxine index decreased
1061,Mesenteric artery embolisation
1062,Hand fracture
1063,Therapeutic product effect variable
1064,Congenital cardiovascular anomaly
1065,Amoebic dysentery
1066,Brown-Sequard syndrome
1067,Platelet function test abnormal
1068,Gallstone ileus
1069,Bleeding anovulatory
1070,Laryngitis allergic
1071,Ecouvillonage
1072,Body surface area
1073,Respiratory rate
1074,Anti-VGKC antibody
1075,Biopsy uterus abnormal
1076,Pseudomonas test positive
1077,Myocarditis bacterial
1078,Reactive airways dysfunction syndrome
1079,Vascular malformation
1080,Autonomic dysreflexia
1081,Acid fast stain positive
1082,Ultrasound ovary abnormal
1083,Reverse tri-iodothyronine decreased
1084,Blood cytokine test
1085,Cerebral decompression
1086,Small intestinal intussusception reduction
1087,Ganglioneuroma
1088,Laceration
